Student_ID,CGPA,10th_Percentage,12th_Percentage,Backlogs,Internship,Projects,Technical_Skills,Communication_Skills,Aptitude_Score,Attendance,Placement
30,5.23,93.24,91.45,3,1,3,6,4,91,93.98,Not Placed
31,8.04,90.65,51.85,4,1,3,1,8,46,63.56,Not Placed
32,5.85,99.99,79.81,4,1,3,3,9,72,99.67,Not Placed
33,5.33,99.83,61.5,5,1,1,3,3,54,81.64,Not Placed
34,9.74,77.77,56.03,2,0,2,10,7,32,99.39,Placed
35,9.83,88.45,53.85,1,1,4,4,9,58,97.56,Placed
36,9.04,97.24,84.81,5,1,2,6,4,61,78.11,Not Placed
37,6.52,92.48,66.99,4,0,2,7,10,55,67.94,Not Placed
38,5.49,62.37,86.24,3,1,1,10,3,45,66.6,Not Placed
39,8.42,72.53,53.27,4,0,2,4,5,54,69.6,Not Placed
40,7.2,56.46,65.76,3,1,0,6,1,83,88.41,Not Placed
41,5.61,97.7,76.97,5,0,3,1,3,57,70.92,Not Placed
42,7.48,80.31,89.54,2,0,0,8,8,85,73.66,Placed
43,5.17,61.43,65.94,4,1,4,7,8,94,77.95,Not Placed
44,9.55,83.59,81.29,3,1,3,9,4,70,96.53,Placed
45,6.29,80.91,94.3,2,1,2,3,2,80,67.58,Not Placed
46,8.31,67.91,80.79,1,0,4,2,8,100,60.2,Placed
47,6.56,55.68,61.65,3,0,3,1,8,58,62.4,Not Placed
48,7.6,83.58,51.22,5,0,2,3,10,48,96.19,Not Placed
49,7.73,76.02,93.5,1,1,0,5,4,95,85.9,Placed
50,5.92,88.62,51.06,1,0,3,2,3,70,70.92,Not Placed
51,9.85,76.01,93.74,0,0,2,3,2,74,67.09,Placed
52,8.88,92.61,76.45,4,1,0,4,9,44,71.77,Not Placed
53,9.7,77.6,96.95,3,0,4,7,1,32,64.59,Not Placed
54,9.47,78.05,89.94,1,0,4,3,7,40,97.66,Placed
55,7.99,93.83,99.9,0,1,4,9,5,82,91.37,Placed
56,9.61,70.17,67.54,5,0,4,8,8,75,78.5,Placed
57,5.44,56.7,88.36,2,1,1,4,4,59,94.6,Not Placed
58,5.98,51.44,70.1,3,1,3,1,7,86,69.98,Not Placed
59,5.23,87.76,73.99,1,1,3,1,5,47,88.68,Not Placed
60,6.63,81.02,81.38,4,1,1,1,5,80,94.25,Not Placed
61,6.94,85.2,93.68,0,1,2,1,9,77,74.27,Not Placed
62,6.36,60.65,99.2,1,0,2,8,9,95,90.3,Not Placed
63,9.14,56.82,88.41,4,0,4,3,9,37,71.8,Not Placed
64,6.78,50.73,70.89,1,1,0,6,6,51,71.95,Not Placed
65,6.4,67.53,71.07,3,1,2,3,6,35,64.28,Not Placed
66,7.71,79.5,86.88,3,0,0,5,5,86,77.6,Not Placed
67,5.7,69.61,61.94,3,1,3,7,9,65,89.19,Not Placed
68,9.01,71.87,55.52,5,1,0,2,10,86,97.61,Not Placed
69,5.37,95.21,67.73,5,1,3,6,8,78,84.15,Not Placed
70,9.93,67.41,64.36,0,0,1,6,7,74,94.53,Placed
71,8.86,75.7,64.82,3,0,1,3,7,95,92.9,Not Placed
72,5.99,89.18,61.68,4,1,4,6,6,74,66.93,Not Placed
73,5.03,69.83,52.1,1,1,2,10,5,49,79.43,Placed
74,9.08,81.1,50.89,2,0,4,10,4,93,64.68,Placed
75,8.53,93.12,99.39,4,0,3,5,3,96,87.29,Not Placed
76,8.65,97.48,71.39,5,1,4,2,3,32,98.0,Not Placed
77,8.86,57.35,69.22,5,1,0,9,6,83,65.48,Not Placed
78,5.37,96.33,83.98,4,0,3,8,4,93,89.36,Not Placed
79,6.79,74.61,60.91,5,0,1,3,6,69,85.29,Not Placed
80,5.58,62.91,97.5,3,0,2,8,3,88,83.34,Not Placed
81,9.32,72.96,89.32,0,1,3,9,4,84,75.6,Placed
82,8.12,99.0,54.47,1,0,3,3,9,91,74.21,Placed
83,6.65,74.63,70.88,0,1,0,3,5,33,61.81,Not Placed
84,5.32,66.44,93.96,1,0,2,2,7,89,68.72,Not Placed
85,6.55,81.67,97.24,1,0,1,8,10,59,60.61,Placed
86,6.63,62.01,73.37,0,0,3,10,2,31,83.26,Placed
87,8.65,53.79,80.67,4,0,3,1,5,91,64.23,Not Placed
88,8.19,56.44,58.35,1,1,0,8,9,78,94.92,Placed
89,9.44,56.4,99.56,0,1,4,7,3,38,80.93,Placed
90,7.36,57.6,61.58,1,0,1,7,9,60,87.99,Placed
91,5.6,56.94,97.14,2,1,2,3,6,90,76.43,Not Placed
92,8.57,82.04,82.48,4,0,3,1,4,77,82.42,Not Placed
93,8.8,59.09,80.39,3,0,3,4,7,54,97.71,Not Placed
94,7.81,67.28,75.63,1,0,1,9,8,65,63.31,Placed
95,8.85,94.84,61.53,2,0,4,5,6,37,70.16,Placed
96,7.47,73.7,58.83,3,1,3,1,5,87,91.2,Not Placed
97,7.61,83.38,61.02,3,0,1,5,6,74,63.95,Not Placed
98,7.14,58.62,59.32,1,0,0,8,5,91,63.03,Not Placed
99,5.13,59.61,88.98,0,1,4,8,8,68,74.46,Placed
100,5.54,52.04,67.51,1,0,2,5,1,87,63.69,Not Placed
101,5.16,58.45,52.89,2,0,3,9,7,93,83.4,Not Placed
102,8.18,63.93,98.46,3,0,1,1,10,73,69.05,Not Placed
103,6.57,58.85,94.19,1,1,0,4,10,58,95.83,Placed
104,7.54,54.44,96.39,0,0,2,3,2,88,91.34,Not Placed
105,9.54,56.03,99.75,1,1,1,2,9,100,87.99,Placed
106,6.25,73.04,58.69,4,0,1,8,1,38,84.68,Not Placed
107,7.05,60.32,69.81,0,0,2,7,10,35,94.54,Placed
108,8.78,68.21,87.91,2,1,0,9,6,58,68.92,Placed
109,6.14,75.17,84.8,3,0,0,2,9,87,94.92,Not Placed
110,5.38,84.52,57.69,1,0,4,4,1,46,91.58,Not Placed
111,6.45,51.97,90.79,0,1,3,6,4,45,89.93,Placed
112,5.81,89.97,61.22,4,1,2,3,4,32,82.45,Not Placed
113,9.65,81.4,61.19,0,1,2,8,9,50,69.85,Placed
114,9.04,54.09,76.85,5,1,2,3,5,93,76.94,Not Placed
115,8.17,93.68,79.65,4,1,0,2,5,65,91.74,Not Placed
116,9.36,96.04,79.0,2,0,3,3,6,91,61.27,Placed
117,9.02,53.05,54.57,3,1,4,6,1,71,91.28,Placed
118,5.93,63.84,93.87,2,0,1,2,1,71,69.6,Not Placed
119,9.46,90.31,63.28,1,0,1,8,9,90,65.77,Placed
120,7.7,87.41,56.48,0,0,2,1,3,42,64.63,Not Placed
121,9.04,59.23,94.44,5,1,3,7,4,40,61.09,Not Placed
122,9.48,60.47,97.78,4,1,0,2,1,83,80.94,Not Placed
123,6.59,68.52,93.11,4,0,3,10,9,45,68.73,Not Placed
124,5.55,74.23,90.48,0,1,3,6,8,37,99.58,Placed
125,6.14,80.91,82.76,5,1,0,2,2,88,82.98,Not Placed
126,7.14,68.45,77.54,0,1,2,2,8,86,65.52,Placed
127,9.09,73.13,54.35,1,1,3,10,7,69,87.55,Placed
128,9.3,87.37,70.42,2,0,1,8,6,88,95.91,Placed
129,5.03,51.83,68.63,4,0,0,2,1,31,89.81,Not Placed
130,7.55,62.62,62.99,1,1,4,7,7,39,63.06,Placed
131,7.09,85.67,86.17,2,0,2,3,10,73,95.84,Not Placed
132,6.11,94.76,74.79,1,1,0,8,7,40,91.76,Not Placed
133,5.6,75.58,54.05,5,1,4,7,9,31,66.33,Not Placed
134,6.69,76.61,61.01,4,0,4,8,1,79,62.07,Not Placed
135,9.71,55.36,84.16,0,0,3,7,2,41,82.29,Placed
136,6.62,72.37,53.81,0,0,3,6,9,52,66.24,Placed
137,7.59,76.63,92.56,2,1,3,7,9,47,93.38,Placed
138,8.52,62.12,74.76,3,0,0,5,6,91,74.33,Not Placed
139,6.82,63.46,74.03,5,1,0,7,6,91,96.52,Not Placed
140,9.86,68.86,79.62,2,0,2,1,4,67,82.63,Not Placed
141,9.81,51.0,91.23,3,0,3,1,4,96,67.31,Not Placed
142,6.26,66.1,67.39,1,1,4,9,5,67,65.58,Placed
143,7.49,60.57,83.9,5,1,1,5,3,96,83.06,Not Placed
144,6.5,66.37,78.29,1,1,2,5,1,90,90.48,Placed
145,6.42,55.99,63.35,4,1,0,3,1,30,91.26,Not Placed
146,5.18,94.53,93.93,5,1,2,5,7,74,71.03,Not Placed
147,8.05,79.68,89.87,3,1,2,3,1,57,68.17,Not Placed
148,7.51,83.96,82.92,4,1,2,9,1,50,60.67,Not Placed
149,5.26,89.46,92.53,0,1,2,9,3,42,87.17,Placed
150,6.39,74.92,93.36,3,0,1,6,10,56,63.06,Placed
151,9.54,54.35,85.42,2,1,3,1,4,36,76.83,Placed
152,6.2,76.86,91.85,0,1,4,7,4,51,84.07,Placed
153,5.72,79.34,84.87,0,0,2,7,2,82,97.48,Not Placed
154,7.45,87.27,84.01,2,1,2,10,1,33,72.47,Placed
155,9.93,71.58,80.93,5,0,2,10,3,52,69.99,Not Placed
156,6.21,56.38,87.64,0,0,3,4,4,99,86.17,Not Placed
157,8.36,64.19,57.93,3,1,0,8,3,62,84.77,Not Placed
158,8.81,68.15,94.04,4,0,0,6,8,57,73.28,Not Placed
159,6.19,82.3,93.59,0,1,1,4,10,37,97.12,Placed
160,8.64,78.54,51.46,3,0,0,4,1,30,93.79,Not Placed
161,6.84,67.8,91.29,1,0,2,2,2,66,68.96,Not Placed
162,8.16,99.33,56.44,3,0,2,2,7,92,69.57,Not Placed
163,8.17,80.29,66.76,4,1,2,4,4,51,80.49,Not Placed
164,7.68,61.86,87.18,3,1,1,5,8,99,90.94,Not Placed
165,5.45,55.09,58.04,2,0,2,8,3,50,61.76,Not Placed
166,9.18,57.64,90.9,4,0,0,6,6,64,87.73,Not Placed
167,6.6,62.3,91.61,5,1,3,4,9,34,85.93,Not Placed
168,5.93,58.03,75.37,1,1,3,7,1,89,69.26,Not Placed
169,5.2,59.33,50.32,2,0,4,8,1,75,87.25,Not Placed
170,7.95,64.25,64.35,5,0,0,2,8,79,97.61,Not Placed
171,8.39,58.67,80.85,3,1,2,7,3,77,61.87,Not Placed
172,5.08,94.84,99.06,4,1,3,2,5,35,72.79,Not Placed
173,7.56,54.01,81.59,1,1,0,2,1,85,77.53,Not Placed
174,6.13,76.23,62.99,2,1,3,8,5,88,95.97,Placed
175,8.23,70.52,81.7,5,1,2,2,6,58,98.49,Not Placed
176,5.87,99.12,77.0,5,0,3,9,8,100,77.76,Not Placed
177,8.45,55.6,88.99,1,1,4,1,3,47,90.0,Placed
178,6.93,69.89,55.35,3,0,4,9,3,31,81.27,Not Placed
179,9.68,98.47,88.05,1,1,3,1,10,37,81.51,Placed
180,5.69,93.28,77.06,5,0,0,10,9,83,71.12,Not Placed
181,6.71,90.85,98.15,0,1,0,10,4,67,68.68,Placed
182,5.57,62.9,67.09,2,1,0,2,4,77,71.52,Not Placed
183,9.62,58.54,81.63,1,0,3,6,7,56,82.25,Placed
184,9.39,83.43,96.6,5,0,0,6,2,49,61.17,Not Placed
185,6.29,96.47,55.13,3,1,2,1,8,41,96.29,Not Placed
186,8.3,77.84,96.86,5,1,4,7,6,72,66.25,Placed
187,9.09,78.58,84.39,3,1,2,8,3,90,68.8,Placed
188,7.78,64.0,53.39,1,1,0,2,9,60,80.73,Placed
189,7.65,88.47,65.05,3,1,2,8,5,90,88.4,Placed
190,6.21,59.35,85.41,4,0,0,9,8,96,63.83,Not Placed
191,5.47,66.18,53.37,4,0,3,6,7,64,72.71,Not Placed
192,9.49,71.27,79.11,4,1,2,5,8,44,98.75,Placed
193,9.5,75.38,67.29,0,0,3,9,7,45,70.49,Placed
194,8.17,62.12,81.05,1,0,3,9,3,42,72.52,Placed
195,6.7,55.74,52.29,5,0,1,1,2,64,93.46,Not Placed
196,6.75,80.53,93.58,5,1,0,3,7,88,62.01,Not Placed
197,8.63,64.43,98.67,0,0,4,9,3,50,78.58,Placed
198,9.49,79.06,98.44,3,1,0,2,3,83,75.18,Not Placed
199,9.44,57.72,87.48,0,0,4,4,2,59,72.66,Placed
200,8.9,74.06,56.5,3,1,0,4,4,77,71.43,Not Placed
201,8.21,76.63,87.91,3,0,3,2,8,64,63.65,Not Placed
202,5.42,52.59,51.23,2,1,2,3,1,67,72.59,Not Placed
203,5.81,66.83,51.11,5,1,2,3,1,60,61.72,Not Placed
204,9.49,56.72,66.18,4,0,1,1,5,53,91.24,Not Placed
205,8.03,53.17,74.43,3,1,4,6,5,78,75.93,Placed
206,5.05,99.5,88.52,2,1,4,8,1,61,77.76,Placed
207,5.51,66.12,84.16,5,1,4,3,6,84,95.74,Not Placed
208,8.32,90.49,72.3,4,1,3,5,1,87,86.32,Not Placed
209,5.03,62.73,63.68,3,1,4,1,5,32,60.32,Not Placed
210,5.8,84.08,99.86,3,1,2,10,9,98,97.73,Placed
211,7.74,88.01,71.31,0,1,3,7,5,39,69.49,Placed
212,8.46,79.78,72.57,0,1,0,10,6,54,64.3,Placed
213,8.26,73.58,58.18,5,0,4,1,8,97,90.73,Not Placed
214,6.12,70.59,89.74,4,0,4,9,1,90,80.02,Not Placed
215,8.56,67.44,84.68,3,1,0,8,2,58,77.35,Not Placed
216,6.19,96.48,61.04,5,1,4,7,9,48,69.98,Not Placed
217,6.63,91.53,54.12,5,0,0,10,3,72,81.9,Not Placed
218,8.73,98.25,84.02,1,0,3,7,6,95,70.98,Placed
219,8.25,56.21,82.73,0,0,2,5,5,90,96.06,Placed
220,9.25,86.54,63.66,4,1,0,5,2,72,68.61,Not Placed
221,8.29,96.92,97.54,3,0,1,5,7,54,95.37,Not Placed
222,7.84,59.06,57.55,5,1,0,1,4,49,82.38,Not Placed
223,5.47,53.32,71.62,3,1,4,8,1,77,93.14,Not Placed
224,6.84,87.06,97.18,1,0,3,1,4,53,88.51,Not Placed
225,6.33,78.72,70.99,4,1,3,4,6,40,87.87,Not Placed
226,6.22,92.09,81.93,5,1,0,9,7,84,72.97,Not Placed
227,9.87,56.99,69.88,3,1,2,9,7,57,69.36,Placed
228,6.97,89.76,63.71,0,1,1,5,7,98,68.44,Placed
229,9.46,60.08,99.2,1,0,3,4,3,92,94.29,Placed
230,8.16,58.18,70.47,4,0,4,3,6,88,92.82,Not Placed
231,8.97,58.21,94.7,1,1,4,3,8,34,77.62,Placed
232,7.51,90.73,61.5,0,1,2,5,4,80,65.3,Placed
233,7.88,83.26,60.66,4,0,3,10,8,50,75.29,Not Placed
234,7.46,76.15,51.56,1,1,0,1,2,41,84.77,Not Placed
235,5.98,67.94,82.58,2,0,4,5,10,79,78.18,Not Placed
236,8.61,93.86,68.43,0,1,2,6,9,33,91.21,Placed
237,6.4,69.62,93.22,0,1,3,7,9,71,99.9,Placed
238,5.12,90.83,73.66,0,0,3,9,8,67,67.65,Not Placed
239,8.23,71.96,98.41,2,0,3,3,10,54,78.39,Placed
240,5.89,68.85,59.28,2,0,3,2,10,43,77.24,Not Placed
241,9.7,73.13,93.43,3,0,3,3,1,61,72.18,Not Placed
242,9.77,65.07,88.83,5,1,4,9,2,40,67.92,Not Placed
243,9.57,87.38,88.55,1,0,2,7,6,90,62.63,Placed
244,6.85,75.14,92.24,3,1,3,9,10,47,95.48,Not Placed
245,5.08,61.61,88.05,1,0,1,2,5,56,76.79,Not Placed
246,9.64,94.98,81.31,5,0,1,5,9,84,79.88,Not Placed
247,7.14,69.19,56.56,2,1,2,4,5,83,96.68,Not Placed
248,9.83,77.18,51.63,5,0,0,2,2,50,91.05,Not Placed
249,9.82,95.32,96.04,2,0,0,9,10,73,65.22,Placed
250,9.27,81.21,80.83,5,0,0,9,4,34,82.62,Not Placed
251,6.47,55.84,89.83,3,0,1,6,9,70,77.69,Not Placed
252,6.93,96.99,74.08,4,1,0,6,1,88,91.89,Not Placed
253,9.26,81.39,55.87,3,1,4,8,1,83,88.97,Placed
254,6.58,66.75,56.26,1,0,3,6,7,51,87.62,Placed
255,5.85,56.96,84.28,3,0,1,1,3,94,73.62,Not Placed
256,7.78,89.7,71.52,0,0,2,4,10,93,92.2,Placed
257,9.68,81.0,60.03,1,1,2,7,2,100,62.1,Placed
258,8.48,76.67,74.58,5,1,3,2,9,33,66.38,Not Placed
259,7.85,94.69,53.21,1,1,1,9,3,94,73.42,Placed
260,5.49,89.43,79.1,4,1,0,8,2,44,63.07,Not Placed
261,8.08,57.58,63.45,2,0,0,8,8,51,69.4,Not Placed
262,9.95,65.59,89.88,5,0,4,7,10,76,93.21,Placed
263,5.7,62.42,65.52,1,0,4,4,6,75,97.93,Placed
264,7.59,87.2,72.76,5,1,0,2,6,43,72.18,Not Placed
265,9.39,51.68,50.58,5,0,2,3,10,79,70.58,Not Placed
266,8.7,78.49,53.62,5,1,2,6,7,49,71.2,Not Placed
267,8.49,88.12,69.62,2,1,4,5,7,79,71.11,Placed
268,8.51,93.84,74.0,3,0,3,8,6,62,61.44,Not Placed
269,6.8,67.1,80.0,5,0,0,6,4,88,97.08,Not Placed
270,6.47,91.06,64.58,0,0,4,6,9,72,68.55,Placed
271,9.05,55.53,84.75,4,1,4,1,6,41,76.8,Not Placed
272,9.05,92.32,93.01,2,1,0,4,4,69,60.39,Placed
273,9.34,56.37,88.99,1,0,0,5,3,49,94.32,Placed
274,9.57,69.86,51.98,2,0,2,3,4,67,89.25,Not Placed
275,7.56,89.86,74.03,1,1,3,9,3,32,97.87,Placed
276,7.51,57.5,55.25,2,0,3,1,2,57,91.26,Not Placed
277,8.99,61.46,62.1,1,1,0,6,5,85,72.55,Placed
278,8.25,86.11,99.33,5,1,1,6,2,42,69.91,Not Placed
279,8.51,86.0,57.12,3,0,4,10,6,95,87.91,Placed
280,8.98,82.06,74.94,1,0,4,5,3,66,74.56,Placed
281,9.45,84.7,80.91,1,0,0,5,6,78,82.65,Placed
282,6.69,77.14,85.12,0,0,1,10,10,95,60.25,Placed
283,6.88,62.59,77.98,1,1,2,5,9,65,62.48,Not Placed
284,5.47,67.28,50.49,0,1,0,6,1,83,81.41,Not Placed
285,7.89,59.08,66.32,4,1,0,8,6,55,82.64,Not Placed
286,5.18,95.42,75.89,5,0,4,2,9,69,90.06,Not Placed
287,7.33,79.17,54.39,0,1,0,6,4,72,65.28,Not Placed
288,7.71,70.04,67.53,3,0,0,1,2,51,80.53,Not Placed
289,6.43,73.1,51.66,5,0,0,4,4,49,67.78,Not Placed
290,7.95,97.36,53.93,0,0,4,10,1,37,63.73,Placed
291,5.15,57.67,69.85,5,0,2,3,3,58,76.42,Not Placed
292,5.19,79.31,56.64,5,0,2,9,10,69,66.53,Not Placed
293,9.11,75.29,78.38,5,0,0,3,9,59,68.87,Not Placed
294,6.8,80.57,84.47,4,1,4,6,10,84,72.7,Placed
295,5.64,50.91,90.03,3,0,2,1,5,45,70.38,Not Placed
296,7.61,93.61,60.01,2,1,2,6,6,75,63.5,Placed
297,8.85,96.61,58.37,2,1,2,4,3,91,63.6,Placed
298,6.08,78.26,55.23,0,0,4,8,5,36,67.73,Not Placed
299,8.11,84.83,81.82,5,0,4,9,8,74,62.02,Not Placed
300,5.43,96.12,85.32,0,0,0,4,6,88,85.06,Not Placed
301,5.26,85.36,51.58,4,1,3,10,4,85,71.49,Not Placed
302,7.66,57.63,96.81,4,0,2,10,2,77,71.19,Not Placed
303,7.7,78.81,52.6,1,1,3,6,9,56,73.28,Placed
304,8.19,80.34,77.06,4,0,4,1,1,82,86.51,Not Placed
305,8.63,71.21,85.45,1,0,4,4,1,64,94.83,Placed
306,9.88,86.82,93.55,3,1,4,7,4,80,90.36,Placed
307,7.58,96.72,85.7,0,1,3,1,7,66,89.1,Placed
308,6.61,96.28,90.09,3,0,4,8,1,86,79.38,Not Placed
309,8.98,72.54,66.97,4,1,0,10,9,37,87.75,Placed
310,6.35,55.66,90.74,3,1,4,6,4,49,82.11,Not Placed
311,7.19,99.24,54.01,3,1,1,5,3,82,68.65,Not Placed
312,5.39,91.94,94.74,3,1,3,10,1,41,68.34,Not Placed
313,5.13,56.23,77.38,4,1,1,9,10,78,71.86,Not Placed
314,9.81,96.04,90.86,5,0,4,2,4,46,96.43,Not Placed
315,9.18,93.49,72.62,3,0,0,5,9,93,81.9,Not Placed
316,8.48,75.94,82.18,1,1,2,6,10,71,89.36,Placed
317,7.04,79.56,76.32,4,0,4,7,6,58,73.86,Not Placed
318,5.87,69.95,86.58,3,0,0,5,6,48,76.31,Not Placed
319,5.78,52.74,54.08,5,1,3,9,1,40,65.02,Not Placed
320,6.25,66.76,53.02,4,0,1,1,10,79,66.85,Not Placed
321,7.75,90.14,62.36,2,1,1,7,2,100,93.09,Not Placed
322,8.57,50.23,57.98,5,1,1,10,6,87,83.39,Placed
323,8.3,66.67,93.59,1,0,3,7,2,63,73.5,Placed
324,6.4,69.91,60.96,3,1,0,4,3,49,92.11,Not Placed
325,9.77,76.87,98.79,2,1,3,9,4,79,69.86,Placed
326,8.69,95.99,66.84,2,1,1,5,5,39,99.04,Not Placed
327,7.77,67.32,59.11,4,1,4,4,9,61,73.79,Not Placed
328,8.06,67.35,89.48,2,1,2,7,4,81,73.49,Placed
329,7.1,86.88,82.94,1,0,3,4,9,44,72.48,Placed
330,6.24,72.61,74.91,1,0,3,3,10,32,64.88,Not Placed
331,6.78,61.23,77.77,0,1,0,9,3,66,64.45,Not Placed
332,8.79,72.62,85.96,1,1,0,8,8,69,85.92,Placed
333,5.07,57.04,61.42,5,0,3,1,1,69,95.0,Not Placed
334,5.58,58.82,99.82,2,1,1,7,9,85,91.62,Not Placed
335,5.23,74.92,98.74,1,0,2,9,9,52,65.64,Placed
336,5.2,70.95,82.52,4,1,0,8,10,40,81.82,Not Placed
337,9.28,95.74,59.98,0,1,1,8,2,93,64.22,Placed
338,8.52,68.12,84.01,2,1,4,6,4,37,61.81,Placed
339,7.37,79.03,53.61,0,1,0,4,8,85,86.26,Placed
340,5.49,81.61,51.53,2,1,1,8,7,89,81.41,Placed
341,7.46,50.65,62.88,4,1,1,3,1,39,63.28,Not Placed
342,7.37,83.18,73.13,0,1,2,9,5,68,61.4,Placed
343,5.87,58.9,93.41,3,0,2,2,7,57,99.59,Not Placed
344,7.17,98.05,86.36,5,0,4,2,4,78,61.2,Not Placed
345,6.99,57.43,87.14,5,0,1,7,1,65,77.78,Not Placed
346,8.08,70.73,71.27,2,1,1,10,9,42,80.18,Placed
347,8.18,54.27,67.3,3,1,2,4,5,65,64.69,Not Placed
348,5.23,99.84,68.55,0,1,0,10,2,55,66.76,Not Placed
349,6.87,75.11,99.38,3,1,0,8,8,33,74.07,Not Placed
350,8.13,79.77,52.01,3,1,3,9,2,93,90.47,Placed
351,7.52,53.35,93.35,0,1,2,7,3,67,80.28,Placed
352,9.28,87.5,78.93,4,1,3,5,10,51,85.52,Placed
353,8.29,60.5,71.93,3,0,2,8,1,31,99.41,Not Placed
354,5.81,94.9,86.26,3,1,4,4,2,60,90.72,Not Placed
355,5.35,60.26,74.33,4,0,1,2,7,40,77.37,Not Placed
356,8.21,59.53,93.67,3,0,4,6,10,75,77.86,Placed
357,5.13,51.83,95.04,3,1,2,9,2,91,84.75,Not Placed
358,7.93,73.6,71.09,3,1,1,1,6,98,86.61,Not Placed
359,9.7,78.24,63.84,5,0,0,10,3,93,80.03,Not Placed
360,7.88,53.29,79.62,1,0,0,7,4,39,85.79,Not Placed
361,6.94,88.78,95.62,4,1,3,10,8,69,60.94,Placed
362,8.22,72.66,60.53,3,1,2,9,3,53,77.18,Not Placed
363,7.29,76.22,81.15,5,0,2,10,10,73,71.16,Not Placed
364,7.73,72.04,81.58,4,1,0,9,6,89,65.17,Not Placed
365,9.71,70.04,86.66,2,1,4,10,1,91,63.98,Placed
366,6.93,77.98,56.58,2,1,1,3,7,46,84.13,Not Placed
367,9.81,57.76,85.79,3,0,4,5,8,94,80.94,Placed
368,9.53,59.1,95.45,5,0,4,8,8,86,70.14,Not Placed
369,5.98,93.09,58.98,5,0,0,8,3,84,78.84,Not Placed
370,5.35,97.31,61.88,4,1,0,4,10,82,79.69,Not Placed
371,5.5,68.67,98.57,4,1,0,1,1,85,67.8,Not Placed
372,5.09,63.54,59.05,5,0,3,1,9,38,86.08,Not Placed
373,5.47,82.2,92.72,4,0,4,4,6,51,91.24,Not Placed
374,8.42,70.44,74.61,5,0,2,6,9,42,91.66,Not Placed
375,5.36,51.27,62.36,1,1,1,8,7,77,84.1,Placed
376,6.59,57.81,93.54,5,0,3,6,1,47,80.47,Not Placed
377,9.22,85.8,72.27,2,0,2,9,1,69,62.44,Placed
378,5.12,82.95,75.74,4,1,4,9,6,46,71.51,Not Placed
379,9.07,51.35,67.96,5,1,0,2,5,44,63.73,Not Placed
380,6.41,61.1,79.65,5,1,4,10,9,44,98.55,Not Placed
381,5.59,61.55,58.18,4,0,1,1,2,92,65.4,Not Placed
382,8.48,83.59,69.55,1,1,3,2,8,68,66.07,Placed
383,8.14,50.99,98.47,1,1,3,5,5,42,95.58,Placed
384,9.39,55.21,62.91,4,0,1,4,2,61,97.76,Not Placed
385,8.68,90.0,82.84,0,1,2,4,10,38,90.63,Placed
386,9.02,58.93,66.26,4,0,2,9,6,69,60.22,Not Placed
387,6.41,82.64,88.67,4,0,3,8,10,49,60.05,Not Placed
388,5.89,61.91,56.54,1,1,3,6,8,92,75.12,Placed
389,8.75,54.97,98.49,1,1,0,1,4,73,65.74,Placed
390,9.03,62.16,72.69,4,1,2,2,2,67,60.74,Not Placed
391,9.95,86.11,61.8,4,1,1,6,5,89,78.56,Placed
392,7.06,92.78,53.67,4,1,2,2,2,100,97.72,Not Placed
