cgpa,internships,projects,aptitude_score,technical_skill_score,placed
9.48,3,2,94.79,13,1
6.59,2,3,58.99,12,1
5.55,0,1,57.68,10,0
6.14,1,1,51.92,3,0
7.14,1,4,40.29,6,0
9.09,0,3,64.15,5,1
9.3,2,4,39.1,9,1
5.03,2,0,88.48,6,0
7.55,3,3,55.93,4,1
7.09,0,2,56.24,3,0
6.11,0,0,63.18,6,0
5.6,1,0,61.09,6,0
6.69,0,2,99.64,5,0
9.71,2,0,68.18,7,1
6.62,0,3,36.17,3,0
7.59,1,4,72.48,9,1
8.52,3,0,40.61,4,0
6.82,1,3,32.17,3,0
9.86,1,1,97.95,11,1
9.81,3,3,84.15,0,1
6.26,1,4,98.61,11,1
7.49,1,3,63.45,7,1
6.5,0,2,67.26,0,0
6.42,0,4,41.78,4,0
5.18,3,1,47.28,5,0
8.05,0,2,88.7,5,0
7.51,0,3,54.93,12,1
5.26,1,4,87.88,4,0
6.39,2,1,79.63,2,0
9.54,0,2,42.4,4,0
6.2,2,1,65.52,11,1
5.72,0,3,77.42,7,0
7.45,0,1,46.45,13,1
9.93,3,0,88.15,1,1
6.21,3,2,68.14,5,0
8.36,3,1,41.57,8,1
8.81,2,3,70.81,7,1
6.19,1,3,99.98,13,1
8.64,0,1,40.54,10,1
6.84,0,3,87.17,7,0
8.16,0,4,44.51,7,1
8.17,2,4,84.77,12,1
7.68,3,4,81.42,6,1
5.45,1,0,51.03,7,0
9.18,2,1,52.81,12,1
6.6,3,0,85.48,5,0
5.93,2,3,62.3,1,0
5.2,1,0,81.16,1,0
7.95,3,3,40.36,7,1
8.39,2,3,89.68,10,1
5.08,1,2,79.76,0,0
7.56,0,4,93.49,5,0
6.13,1,3,39.27,12,1
8.23,0,2,71.51,5,0
5.87,2,4,71.94,10,1
8.45,3,3,54.74,3,1
6.93,3,3,62.09,11,1
9.68,2,0,32.66,10,1
5.69,3,0,82.21,12,1
6.71,3,4,68.45,10,1
5.57,0,3,34.04,12,0
9.62,2,1,77.65,9,1
9.39,1,0,62.67,2,0
6.29,0,4,32.41,12,1
8.3,2,3,97.87,10,1
9.09,0,3,96.44,2,0
7.78,1,1,65.9,12,1
7.65,1,4,36.56,12,1
6.21,2,3,82.82,0,0
5.47,1,0,64.44,2,0
9.49,0,1,51.17,3,0
9.5,1,4,64.4,10,1
8.17,0,1,66.57,10,1
6.7,0,0,69.39,4,0
6.75,1,4,60.89,2,0
8.63,2,1,72.4,5,1
9.49,3,2,94.31,10,1
9.44,1,0,55.36,13,1
8.9,0,0,80.8,11,1
8.21,0,0,92.61,4,0
5.42,1,2,61.92,2,0
5.81,2,2,61.04,5,0
9.49,2,3,72.15,5,1
8.03,0,1,71.4,13,1
5.05,0,3,86.46,7,0
5.51,2,1,63.35,1,0
8.32,3,2,99.73,0,1
5.03,1,2,34.16,3,0
5.8,0,3,30.22,6,0
7.74,0,4,74.81,10,1
8.46,2,3,50.89,9,1
8.26,1,1,46.83,2,0
6.12,2,3,51.83,2,0
8.56,1,0,47.92,4,0
6.19,1,1,32.16,4,0
6.63,1,1,98.01,12,1
8.73,0,4,45.45,9,1
8.25,3,2,81.38,2,1
9.25,2,1,83.38,8,1
8.29,3,2,95.05,3,1
7.84,2,3,32.14,12,1
5.47,1,0,91.04,12,0
6.84,0,4,66.91,2,0
6.33,3,2,74.28,10,1
6.22,0,1,75.11,1,0
9.87,2,2,87.39,9,1
6.97,0,1,53.34,12,0
9.46,0,2,81.31,10,1
8.16,3,1,67.0,8,1
8.97,1,3,85.54,3,1
7.51,0,1,99.34,2,0
7.88,1,1,44.05,6,0
7.46,2,0,99.63,7,1
5.98,0,1,36.29,10,0
8.61,3,0,30.16,13,1
6.4,2,4,33.09,1,0
5.12,2,0,53.92,6,0
8.23,3,3,74.3,11,1
5.89,0,0,34.83,4,0
9.7,0,4,30.4,10,1
9.77,2,3,95.6,4,1
9.57,0,2,87.53,2,0
6.85,1,2,86.64,4,0
5.08,3,0,91.91,11,1
9.64,1,0,79.0,1,0
7.14,0,4,37.31,3,0
9.83,2,4,57.94,5,1
9.82,3,1,80.62,0,1
9.27,0,4,49.62,9,1
6.47,0,1,78.12,3,0
6.93,2,3,31.71,5,0
9.26,2,0,51.43,8,1
6.58,1,3,68.44,13,1
5.85,3,4,74.25,10,1
7.78,3,3,70.39,10,1
9.68,2,3,78.84,12,1
8.48,1,3,30.43,1,0
7.85,3,4,37.07,10,1
5.49,2,3,90.83,6,0
8.08,0,1,77.72,5,0
9.95,3,4,37.91,1,1
5.7,1,3,88.95,7,0
7.59,1,4,46.96,6,1
9.39,1,2,63.48,10,1
8.7,0,1,40.16,4,0
8.49,3,3,79.71,11,1
8.51,3,2,76.68,4,1
6.8,0,2,44.78,6,0
6.47,3,4,90.44,8,1
9.05,0,2,58.09,10,1
9.05,0,1,50.48,8,1
9.34,0,1,40.66,8,1
9.57,1,0,48.63,5,0
7.56,3,1,31.54,9,1
7.51,0,2,70.83,5,0
8.99,3,1,88.96,2,1
8.25,1,4,68.43,0,0
8.51,0,0,45.35,6,0
8.98,2,2,32.36,3,0
9.45,1,0,45.02,0,0
6.69,2,2,59.13,7,0
6.88,3,4,83.17,11,1
5.47,3,0,43.15,5,0
7.89,1,3,80.39,5,1
5.18,3,2,90.69,1,0
7.33,2,3,61.78,0,0
7.71,0,0,87.5,12,1
6.43,0,3,68.83,13,1
7.95,0,3,74.6,13,1
5.15,1,0,66.84,1,0
5.19,3,4,62.42,3,0
9.11,2,3,46.43,1,0
6.8,3,3,51.22,0,0
5.64,3,4,50.3,6,0
7.61,3,3,69.43,10,1
8.85,0,3,38.4,10,1
6.08,2,3,94.18,11,1
8.11,2,1,80.45,7,1
5.43,3,4,58.1,5,0
5.26,0,3,41.1,3,0
7.66,0,4,91.74,13,1
7.7,2,2,87.66,5,1
8.19,0,2,80.52,2,0
8.63,0,3,49.01,11,1
9.88,0,4,58.17,7,1
7.58,1,4,37.19,9,1
6.61,3,4,43.23,13,1
8.98,2,1,84.81,12,1
6.35,2,2,80.05,12,1
7.19,1,4,71.54,1,0
5.39,3,4,92.7,4,0
5.13,2,1,70.83,0,0
9.81,0,1,62.69,5,0
9.18,2,4,53.83,1,1
8.48,0,0,95.83,3,0
7.04,1,4,35.79,5,0
5.87,0,4,95.16,9,0
5.78,2,1,87.87,10,1
6.25,2,1,39.1,7,0
7.75,2,4,69.55,11,1
8.57,1,4,90.66,7,1
8.3,1,4,70.03,10,1
6.4,3,1,93.5,5,0
9.77,2,4,96.01,3,1
8.69,0,4,59.57,7,1
7.77,1,3,56.41,12,1
8.06,2,0,95.54,7,1
7.1,2,2,77.26,9,1
6.24,1,0,38.12,13,0
6.78,3,3,32.96,0,0
8.79,1,2,69.52,3,0
5.07,1,4,95.11,3,0
5.58,0,3,89.1,6,0
5.23,0,4,77.31,13,1
5.2,3,1,39.74,13,1
9.28,2,3,47.8,10,1
8.52,1,1,91.29,6,1
7.37,3,3,42.8,12,1
5.49,0,3,49.49,10,0
7.46,1,1,39.07,7,0
7.37,2,2,77.33,10,1
5.87,0,0,96.08,4,0
7.17,0,4,48.83,6,0
6.99,0,3,63.28,7,0
8.08,3,4,74.4,8,1
8.18,2,1,99.96,2,0
5.23,1,4,37.34,2,0
6.87,3,1,64.9,3,0
8.13,3,4,56.96,4,1
7.52,3,0,90.61,9,1
9.28,0,0,63.32,0,0
8.29,2,0,37.77,6,0
5.81,3,0,74.41,8,0
5.35,1,0,83.95,7,0
8.21,2,0,30.2,4,0
5.13,1,1,90.13,13,0
7.93,2,3,43.02,13,1
9.7,1,4,68.64,3,1
7.88,0,0,59.11,11,0
6.94,3,1,80.38,6,1
8.22,1,1,55.98,4,0
7.29,2,1,90.88,6,0
7.73,3,3,81.13,11,1
9.71,3,4,75.34,0,1
6.93,2,3,85.74,0,0
9.81,1,2,82.78,9,1
9.53,0,1,32.52,13,1
5.98,0,2,57.63,12,0
5.35,1,0,95.16,2,0
5.5,3,0,38.8,13,1
5.09,3,3,81.6,10,1
5.47,3,4,98.22,1,0
8.42,3,2,33.65,1,0
5.36,1,4,77.75,6,0
6.59,3,3,62.77,11,1
9.22,2,0,70.54,9,1
5.12,3,4,35.97,1,0
9.07,0,4,33.01,10,1
6.41,3,0,76.68,3,0
5.59,1,2,87.63,1,0
8.48,0,0,84.74,5,0
8.14,1,4,68.07,7,1
9.39,1,2,36.99,9,1
8.68,0,2,78.16,3,0
9.02,1,0,46.93,4,0
6.41,1,4,93.77,3,0
5.89,3,3,88.68,2,0
8.75,2,4,79.66,4,1
9.03,1,1,96.42,13,1
9.95,1,3,32.2,8,1
7.06,1,2,81.53,7,0
6.86,3,3,53.12,7,1
8.88,2,2,93.42,7,1
6.7,0,2,48.67,11,0
9.65,3,3,80.74,7,1
9.29,3,2,91.44,6,1
7.14,2,2,32.92,7,0
8.75,2,1,57.84,10,1
8.77,3,4,83.36,13,1
5.52,0,4,61.84,7,0
9.51,3,1,48.71,12,1
7.53,2,3,45.39,13,1
9.13,0,0,39.21,7,0
6.6,2,0,90.0,11,1
9.48,0,0,70.27,9,1
6.95,1,1,35.35,6,0
5.05,2,1,56.78,11,0
9.53,2,2,55.74,0,0
5.46,3,0,42.72,3,0
6.6,2,3,60.49,12,1
9.75,2,3,53.25,12,1
9.75,1,0,53.93,3,0
7.87,2,0,81.73,4,0
8.16,1,0,45.63,9,0
7.24,1,1,74.93,5,0
6.47,1,1,69.95,3,0
6.64,1,1,69.77,1,0
8.36,0,4,76.41,5,1
8.76,3,3,68.39,7,1
8.96,0,3,91.55,7,1
8.95,2,2,77.29,6,1
5.46,0,1,68.29,5,0
7.47,0,4,88.08,1,0
5.29,2,4,72.43,6,0
7.75,2,3,50.38,10,1
7.21,2,1,44.5,11,1
9.44,0,2,40.66,13,1
6.75,0,1,92.96,13,1
5.59,2,0,79.71,4,0
5.71,3,1,95.62,5,0
8.81,3,0,72.23,9,1
8.09,1,0,63.14,7,0
5.51,2,2,34.18,13,1
5.42,1,3,77.01,7,0
8.5,3,1,70.75,2,1
5.36,1,0,99.31,11,0
9.11,2,1,46.74,11,1
8.53,2,3,67.15,13,1
5.41,2,3,75.57,6,0
5.42,0,4,75.12,0,0
9.93,1,3,69.29,0,1
6.87,3,2,84.38,6,1
6.85,3,0,44.35,9,1
9.06,3,4,80.79,8,1
9.74,0,2,73.38,6,1
9.93,0,1,92.73,9,1
8.77,2,0,89.3,4,1
6.88,3,3,52.06,7,1
5.42,0,0,49.34,1,0
8.89,2,1,98.72,8,1
7.79,3,4,66.91,5,1
7.12,1,4,93.45,12,1
9.53,2,4,41.47,8,1
5.56,0,3,75.0,1,0
7.46,0,2,86.69,2,0
5.06,2,2,96.32,11,1
7.34,2,0,53.61,7,0
5.28,0,3,80.75,0,0
5.59,1,4,67.72,9,0
5.59,3,4,34.24,6,0
8.25,1,1,78.3,6,0
8.73,2,1,78.31,12,1
7.92,1,4,95.14,0,0
9.81,0,4,64.81,8,1
6.87,2,3,46.12,7,1
6.43,3,2,33.12,3,0
9.34,0,1,59.09,9,1
6.12,0,2,51.13,10,0
9.82,3,3,83.28,4,1
5.06,3,4,54.8,1,0
9.85,1,2,96.43,12,1
5.22,2,4,97.36,8,1
9.46,3,4,73.46,11,1
7.64,3,0,95.01,11,1
9.96,2,2,83.26,5,1
5.37,3,2,68.28,2,0
7.77,3,4,42.62,11,1
9.85,1,3,62.1,6,1
7.62,0,0,69.26,8,0
8.15,0,4,90.48,2,0
8.48,0,1,63.69,1,0
7.27,0,1,92.84,6,0
8.14,3,0,77.2,6,1
7.92,2,3,39.59,3,0
9.51,2,4,99.65,10,1
5.23,1,2,66.91,8,0
6.4,1,0,57.43,13,0
9.75,3,3,76.14,7,1
9.45,2,2,37.62,12,1
7.28,2,1,74.56,12,1
8.1,0,1,64.88,0,0
6.39,3,2,58.47,0,0
5.94,3,0,96.71,4,0
7.32,0,1,66.58,5,0
6.77,3,4,45.34,2,0
7.92,3,2,62.13,12,1
5.39,1,2,94.36,8,0
9.87,2,1,42.33,11,1
9.93,3,0,44.98,9,1
8.49,1,4,30.91,13,1
7.68,2,0,30.99,5,0
6.55,0,3,88.06,3,0
9.07,1,3,81.25,11,1
8.42,1,1,54.85,6,0
5.81,2,1,78.88,7,0
9.55,0,1,57.66,8,1
9.11,1,3,96.7,12,1
9.75,3,0,97.69,10,1
8.63,3,0,57.5,5,1
8.07,3,1,89.8,5,1
7.09,0,4,84.12,7,0
9.66,1,0,51.7,11,1
9.33,3,3,46.24,4,1
5.23,0,2,62.08,13,0
5.13,3,2,84.69,2,0
6.88,2,2,97.21,11,1
9.05,1,4,83.45,2,1
9.94,1,1,89.86,12,1
5.75,0,3,72.21,5,0
7.97,0,4,88.48,1,0
6.9,1,3,84.91,5,0
9.85,3,3,56.39,12,1
9.21,3,1,68.64,5,1
9.19,2,2,86.33,7,1
7.34,3,1,33.22,6,0
7.07,0,4,86.57,7,0
6.37,0,4,42.45,13,1
5.28,3,4,66.03,8,1
9.32,0,1,86.58,5,0
9.06,1,3,47.77,13,1
10.0,1,3,47.21,2,1
9.98,3,0,58.19,9,1
7.78,1,4,92.62,2,0
8.84,1,3,30.03,10,1
9.72,2,0,93.1,11,1
9.25,2,3,40.77,0,0
6.24,1,4,99.31,10,1
7.25,3,2,96.84,12,1
5.65,2,4,64.63,4,0
9.77,0,1,65.89,13,1
8.03,0,3,63.71,3,0
6.14,0,3,74.48,8,0
8.36,3,1,36.35,8,1
8.09,1,1,32.28,13,1
6.79,0,2,34.04,4,0
5.57,3,3,61.11,9,1
8.36,2,3,49.29,3,1
7.6,1,2,73.54,6,0
8.86,2,0,99.47,5,1
7.6,3,2,57.04,3,0
9.26,0,4,70.17,12,1
7.76,0,3,59.09,12,1
7.8,3,1,89.31,9,1
9.38,0,4,93.16,1,1
7.02,1,3,91.41,0,0
5.67,3,2,98.21,3,0
5.14,2,4,31.93,3,0
8.78,3,3,88.79,12,1
8.1,1,0,82.62,0,0
8.52,1,0,46.01,5,0
6.06,3,1,96.94,3,0
5.68,3,3,40.37,0,0
5.07,0,0,77.57,0,0
6.75,1,2,45.74,12,1
7.95,3,3,60.2,0,0
6.96,3,2,80.34,7,1
7.19,1,2,69.43,9,1
9.52,3,0,59.93,7,1
6.74,0,3,52.84,1,0
7.57,1,4,88.78,10,1
8.92,0,0,40.07,12,1
6.98,0,0,60.11,6,0
8.11,0,3,93.26,13,1
9.31,0,3,89.21,7,1
9.75,1,2,58.07,7,1
5.74,0,3,83.42,10,0
9.63,0,2,87.62,9,1
7.46,3,0,92.22,10,1
6.29,1,1,68.12,12,1
7.3,1,4,44.31,6,0
9.9,2,0,47.87,4,1
7.46,1,3,50.7,0,0
6.64,1,4,71.57,11,1
8.17,2,1,32.3,8,1
6.2,1,1,74.52,12,1
5.38,1,2,55.5,6,0
5.64,1,4,50.67,1,0
5.64,1,2,91.56,5,0
5.76,2,0,62.2,1,0
5.69,1,4,36.65,0,0
8.2,1,0,87.87,13,1
5.91,2,2,33.33,6,0
6.73,3,4,80.87,12,1
9.48,0,2,84.17,1,0
7.37,3,4,54.68,12,1
8.34,2,2,87.74,13,1
5.86,0,1,66.1,13,0
5.96,2,2,62.43,1,0
5.2,2,1,33.18,12,0
5.84,1,2,50.3,10,0
6.39,0,4,95.17,4,0
5.89,1,4,57.43,13,1
5.44,0,4,68.27,4,0
5.6,2,3,67.24,6,0
7.3,2,0,71.33,0,0
6.03,3,4,34.29,7,1
6.82,0,1,55.35,2,0
7.52,1,4,80.62,3,0
8.45,3,3,44.04,8,1
5.2,3,1,44.25,3,0
9.0,3,3,30.71,9,1
8.14,1,1,60.62,11,1
5.41,3,2,91.79,4,0
9.37,1,0,33.63,6,0
9.6,3,0,43.38,3,1
5.31,1,3,51.71,13,1
6.38,2,0,81.22,0,0
9.03,2,3,74.84,8,1
8.74,2,3,59.12,3,1
5.92,2,3,83.13,8,1
6.05,2,0,72.67,5,0
6.85,3,3,92.72,0,0
7.42,3,0,87.26,11,1
8.09,3,3,47.7,2,1
6.84,1,4,49.0,10,1
7.31,1,3,38.77,1,0
8.74,1,1,53.59,8,1
5.18,1,3,99.97,11,1
6.26,2,2,58.4,0,0
8.57,2,3,45.43,12,1
9.48,2,1,83.37,13,1
7.56,0,1,67.97,8,0
7.66,3,0,40.47,8,1
5.54,1,4,56.65,7,0
7.24,1,3,59.01,7,0
7.66,2,0,82.77,10,1
6.21,1,4,31.45,13,1
6.35,1,3,48.83,11,1
6.89,3,2,66.23,0,0
5.1,2,3,48.82,10,0
6.61,3,1,73.99,7,1
6.06,0,1,63.73,9,0
6.64,0,2,55.32,13,1
5.6,0,0,96.44,2,0
9.45,2,4,74.25,10,1
7.97,1,3,39.1,6,0
8.4,2,1,69.21,10,1
8.95,2,0,84.65,0,0
7.49,1,2,79.59,0,0
5.43,3,1,42.05,9,0
7.69,0,2,98.07,12,1
7.93,3,3,61.42,4,1
8.73,0,4,41.13,4,0
7.16,2,1,42.61,7,0
5.64,0,1,36.88,6,0
6.42,2,3,86.25,7,1
6.82,3,0,38.54,5,0
8.23,2,4,38.76,5,1
7.85,3,1,89.53,1,0
6.78,1,4,54.12,5,0
9.93,1,1,32.16,4,0
8.03,1,4,33.63,12,1
6.19,2,2,39.95,2,0
5.51,1,1,44.94,5,0
5.76,0,4,76.56,7,0
6.23,3,0,41.01,8,0
5.8,3,2,38.32,0,0
5.93,0,2,83.53,2,0
6.43,2,0,76.97,2,0
5.87,2,4,60.47,10,1
9.48,3,3,68.45,7,1
5.4,1,0,51.84,0,0
7.62,2,4,63.78,4,1
7.05,2,0,65.47,2,0
9.91,0,0,57.11,1,0
5.56,0,1,93.46,7,0
6.99,1,4,31.12,2,0
9.85,2,3,84.75,6,1
9.33,2,1,38.71,11,1
9.09,0,0,85.83,10,1
6.29,2,0,73.11,0,0
5.85,3,0,89.03,5,0
8.34,0,4,36.83,2,0
9.65,1,4,69.13,7,1
7.78,0,1,65.08,5,0
7.86,2,3,79.43,11,1
6.4,1,1,67.4,1,0
8.85,0,2,67.85,5,0
5.94,3,0,60.07,6,0
6.62,3,0,51.62,4,0
7.13,0,0,63.76,2,0
7.54,3,1,38.29,3,0
6.21,3,1,97.31,3,0
5.57,3,0,80.01,5,0
8.05,1,1,96.67,9,1
6.44,3,4,45.87,0,0
7.91,3,4,91.55,10,1
5.77,3,1,86.62,3,0
7.41,1,0,77.4,9,0
7.66,0,1,73.75,12,1
5.26,2,1,52.16,3,0
6.68,3,1,87.15,9,1
5.67,0,2,65.11,0,0
5.32,3,4,34.96,8,1
9.95,1,3,51.9,3,1
6.61,0,3,95.47,6,0
9.05,1,2,89.55,11,1
6.27,3,1,98.73,13,1
8.41,3,2,73.96,2,1
8.8,1,2,47.33,9,1
7.98,2,0,41.4,11,1
7.36,1,4,43.08,2,0
7.06,3,3,31.39,13,1
6.74,1,1,57.35,7,0
9.65,2,3,43.4,7,1
9.15,1,3,58.82,10,1
9.83,2,4,95.45,11,1
5.62,2,3,60.14,0,0
8.65,1,3,91.46,9,1
9.69,1,2,72.39,1,0
5.91,0,4,47.3,7,0
5.33,3,0,54.91,0,0
8.71,2,1,35.87,11,1
7.87,0,3,53.34,7,0
9.21,1,1,77.43,7,1
5.7,3,0,35.05,1,0
8.98,0,1,44.38,3,0
6.01,2,0,56.7,5,0
5.82,0,2,98.74,11,0
5.82,2,3,84.94,10,1
9.07,1,0,81.34,8,1
8.33,3,1,38.13,7,1
7.62,3,3,84.67,11,1
6.79,3,2,84.97,7,1
9.39,1,3,72.08,6,1
6.96,2,0,99.33,13,1
9.08,1,2,52.77,12,1
7.2,3,1,95.89,8,1
6.88,1,2,94.03,1,0
7.31,1,2,30.8,2,0
6.51,1,4,61.51,9,1
8.74,2,2,98.4,7,1
7.51,0,2,37.22,13,1
6.16,0,3,68.34,5,0
9.5,1,1,98.53,9,1
6.92,0,3,68.88,8,0
7.72,0,3,43.29,9,1
9.53,1,0,70.75,3,0
8.12,1,3,44.31,7,1
5.58,3,4,66.38,9,1
9.7,0,4,35.18,2,0
8.14,2,0,72.38,2,0
6.67,1,1,66.18,7,0
5.7,3,1,81.81,4,0
8.97,2,3,74.15,2,1
8.1,0,3,68.47,9,1
7.67,3,3,78.28,10,1
9.47,1,1,40.08,0,0
8.94,2,2,71.68,2,1
5.76,1,4,42.05,11,1
6.56,0,2,94.79,8,0
6.24,2,2,34.78,4,0
8.72,0,1,60.13,11,1
5.17,0,2,78.71,9,0
7.85,3,0,62.06,1,0
8.81,1,3,36.45,6,1
9.38,2,0,68.74,1,0
6.71,0,4,74.91,3,0
9.11,0,3,79.27,11,1
5.55,2,2,56.13,6,0
9.23,0,4,69.46,3,1
5.64,3,3,61.55,6,0
6.99,3,2,77.04,6,1
8.99,3,0,70.85,0,0
5.75,3,3,66.8,5,0
6.15,0,2,47.47,8,0
8.61,2,0,30.14,1,0
8.6,2,4,42.19,13,1
8.21,2,4,38.19,2,0
8.47,2,4,61.44,9,1
7.71,1,4,72.86,4,0
6.26,2,1,44.92,8,0
6.73,1,3,95.73,3,0
5.91,1,3,30.47,0,0
9.54,3,1,84.06,3,1
7.92,1,2,73.76,5,0
7.0,0,2,56.15,4,0
7.31,1,4,33.53,13,1
9.74,3,0,73.92,12,1
5.77,1,2,56.99,0,0
7.93,0,0,95.54,3,0
7.53,0,3,67.94,5,0
8.06,0,0,95.78,12,1
5.09,3,3,45.43,9,0
9.36,3,1,80.8,9,1
9.66,2,1,73.21,13,1
7.83,3,4,81.76,3,1
8.48,0,2,45.03,13,1
9.61,0,4,76.55,8,1
8.54,3,3,64.86,4,1
5.76,1,4,82.0,7,0
7.88,3,0,52.89,8,1
8.03,3,3,92.3,9,1
7.12,0,1,35.9,4,0
8.68,2,2,86.5,5,1
9.67,0,3,90.29,0,0
9.63,2,3,87.21,10,1
7.25,0,0,65.89,11,0
5.57,3,2,60.69,6,0
9.92,0,1,99.74,3,0
9.19,0,3,46.04,10,1
5.62,0,3,68.28,1,0
9.6,3,0,76.95,4,1
9.35,3,4,79.06,11,1
7.59,3,1,44.28,2,0
7.96,3,2,75.78,5,1
7.0,2,3,87.29,7,1
5.27,2,3,33.5,6,0
6.68,1,1,93.81,2,0
9.01,3,4,32.07,7,1
5.02,2,3,54.92,1,0
6.67,0,1,31.11,9,0
6.99,3,0,35.4,8,0
7.69,1,4,93.78,3,0
9.6,1,2,54.84,0,0
6.73,1,3,59.73,7,0
6.73,0,1,45.07,6,0
8.69,2,0,71.8,10,1
7.26,0,2,71.64,12,1
6.12,3,1,56.05,4,0
7.26,1,1,53.31,9,0
5.7,0,2,91.95,12,0
5.88,0,0,56.83,4,0
7.49,2,0,64.55,6,0
7.09,2,4,49.83,4,0
9.57,1,3,85.07,7,1
6.81,0,2,57.82,10,0
7.9,0,2,65.95,12,1
8.16,2,2,47.74,5,1
5.07,0,0,99.14,12,0
8.32,0,3,50.4,4,0
5.89,0,4,83.95,8,0
9.81,2,1,59.92,10,1
5.74,1,1,44.44,1,0
7.07,3,2,85.98,0,0
5.43,1,3,53.35,7,0
9.98,3,0,90.56,11,1
7.51,0,3,94.07,2,0
7.98,1,3,90.19,13,1
5.34,3,0,32.45,10,0
8.75,2,2,85.12,11,1
6.05,2,3,58.79,11,1
9.49,1,1,91.16,11,1
6.03,1,0,74.66,6,0
5.95,0,4,88.36,9,0
5.18,1,2,64.96,12,0
7.36,0,0,67.45,10,0
7.82,0,4,40.11,7,0
5.33,2,4,84.88,12,1
8.88,2,3,59.36,12,1
7.27,3,3,65.01,5,1
7.62,2,3,84.96,11,1
7.2,2,0,71.92,9,1
7.0,1,0,44.08,13,1
7.8,2,2,71.32,8,1
5.78,3,3,58.53,6,0
5.91,1,4,62.87,9,0
9.31,3,1,31.98,4,1
9.73,2,2,44.7,7,1
6.87,3,0,49.67,1,0
